# Configuration Mrad dMrad Jx dJx dJy dJy dJz dJy Vx dVx Vy dVy Vz dVz
# Table XV of 1211.7099
NQ25TH150PH0 0.0112 0.0001 0.0714 0.0016 0.0360 0.0004 0.0983 0.0039 30 2 351 2 152 2
NQ25TH150PH30 0.0113 0.0001 0.0435 0.0011 0.0678 0.0012 0.0982 0.0039 -120 2 383 4 78 2
NQ25TH150PH60 0.0113 0.0001 0.0033 0.0004 0.0810 0.0016 0.0978 0.0040 -273 2 296 4 13 2
NQ25TH150PH90 0.0113 0.0001 -0.0379 0.0005 0.0722 0.0016 0.0967 0.0040 -323 4 150 2 -82 2
NQ25TH150PH120 0.0112 0.0001 -0.0678 0.0012 0.0447 0.0012 0.0959 0.0040 -178 4 73 2 -198 2
NQ25TH150PH150 0.0111 0.0001 -0.0798 0.0016 0.0058 0.0004 0.0972 0.0040 25 2 190 2 -224 2
NQ16TH45PH0 0.0192 0.0003 0.0002 0.0010 0.0598 0.0017 0.1320 0.0018 -92 2 -197 14 -363 8
NQ16TH45PH30 0.0190 0.0003 -0.0295 0.0014 0.0511 0.0013 0.1312 0.0010 -0 4 -143 10 -189 6
NQ16TH45PH60 0.0191 0.0003 -0.0515 0.0004 0.0300 0.0013 0.1324 0.0019 116 12 -162 8 -311 8
NQ16TH45PH90 0.0193 0.0003 -0.0598 0.0012 0.0005 0.0008 0.1339 0.0021 232 14 -90 2 -415 10
NQ16TH45PH120 0.0186 0.0003 -0.0507 0.0015 -0.0293 0.0003 0.1309 0.0022 -111 2 -47 6 330 4
NQ16TH45PH150 0.0193 0.0003 -0.0301 0.0014 -0.0517 0.0013 0.1330 0.0021 -228 6 -199 14 611 6
NQ16TH90PH0 0.0115 0.0001 0.0187 0.0009 0.0735 0.0007 0.0253 0.0012 66 4 -369 2 -153 2
NQ16TH90PH30 0.0114 0.0001 -0.0214 0.0004 0.0722 0.0008 0.0256 0.0014 160 4 -251 2 -93 2
NQ16TH90PH60 0.0122 0.0001 -0.0581 0.0002 0.0502 0.0009 0.0289 0.0018 -288 2 -125 2 275 4
NQ16TH90PH90 0.0123 0.0001 -0.0762 0.0010 0.0136 0.0008 0.0293 0.0015 -239 2 -268 2 312 4
NQ16TH90PH120 0.0114 0.0001 -0.0724 0.0014 -0.0234 0.0003 0.0255 0.0009 271 2 234 2 -143 2
